user_id,username,lastfm_name,join_date,password,email
1,testuser,abraham,"2018-10-11 19:55:11",asofyetunhashed,email@email.website
2,,Photosynthesis,NULL,,
3,Table_master,Table_master,"2018-10-14 15:35:04",bad_password,email@email.web
5,PearBoy442,PearLover007,"2018-11-13 20:22:59",$5$rounds=535000$gIdTq3oxVAcEtZLs$XaksDX6EitKlOwRLQYgmN12e2LRnIp7SIFj7N4hoex.,FreshStyles@email.website
6,NULL,dave-dave,NULL,NULL,NULL
13,NULL,testname,NULL,NULL,NULL
14,NULL,dang_this_is_a_name,NULL,NULL,NULL
15,NULL,rj,NULL,NULL,NULL
16,NULL,grinch,NULL,NULL,NULL
17,NULL,eartle,NULL,NULL,NULL
18,NULL,Mooduz,NULL,NULL,NULL
19,NULL,maddiecakesyo,NULL,NULL,NULL
20,NULL,xconzo,NULL,NULL,NULL
21,NULL,lionrevolt,NULL,NULL,NULL
22,NULL,theBlackWhite,NULL,NULL,NULL
23,NULL,UnquietNights,NULL,NULL,NULL
28,NULL,4,NULL,NULL,NULL
29,NULL,Vaporblue,NULL,NULL,NULL
30,NULL,A1000Mistakes,NULL,NULL,NULL
31,NULL,bubblegirl_82,NULL,NULL,NULL
32,NULL,Daniel,NULL,NULL,NULL
33,NULL,Babs_05,NULL,NULL,NULL
34,NULL,franhale,NULL,NULL,NULL
35,NULL,massdosage,NULL,NULL,NULL
36,NULL,Knapster01,NULL,NULL,NULL
37,NULL,jonocole,NULL,NULL,NULL
38,NULL,isaac,NULL,NULL,NULL
39,NULL,lobsterclaw,NULL,NULL,NULL
40,NULL,jajo,NULL,NULL,NULL
41,NULL,mremond,NULL,NULL,NULL
42,NULL,Orlenay,NULL,NULL,NULL
43,NULL,schlagschnitzel,NULL,NULL,NULL
44,NULL,Edouard,NULL,NULL,NULL
45,NULL,naniel,NULL,NULL,NULL
46,NULL,dunk,NULL,NULL,NULL
47,NULL,RUPERT,NULL,NULL,NULL
48,NULL,mxcl,NULL,NULL,NULL
49,NULL,jwheare,NULL,NULL,NULL
50,NULL,nancyvw,NULL,NULL,NULL
51,NULL,underpangs,NULL,NULL,NULL
52,NULL,p_wheel,NULL,NULL,NULL
53,NULL,spietsch,NULL,NULL,NULL
54,NULL,musicmobs,NULL,NULL,NULL
55,NULL,Schrollum,NULL,NULL,NULL
56,NULL,luke_10,NULL,NULL,NULL
57,NULL,tgwizard,NULL,NULL,NULL
58,NULL,pkeanecbs,NULL,NULL,NULL
